Account,Name,Rep,Manager,Product,Quantity,Price,Status
714466,Trantow-Barrows,Craig Booker,other,CPU,62,30000,presented
714466,Trantow-Barrows,Craig Booker,US,Software,32,10000,presented
714466,Trantow-Barrows,Craig Booker,other,Maintenance,19,5000,pending
737550,"Fritsch, Russel and Anderson",Craig Booker,NDF,CPU,25,35000,declined
146832,Kiehn-Spinka,Daniel Hilton,US,CPU,32,65000,won
218895,Kulas Inc,Daniel Hilton,other,CPU,76,40000,pending
218895,Kulas Inc,Daniel Hilton,NDF,Software,30,10000,presented
412290,Jerde-Hilpert,John Smith,FR,Maintenance,27,5000,pending
740150,Barton LLC,John Smith,US,CPU,30,35000,declined
141962,Herman LLC,Cedric Moss,NDF,CPU,23,65000,won
163416,Purdy-Kunde,Cedric Moss,NDF,CPU,30,30000,presented
239344,Stokes LLC,Cedric Moss,NDF,Maintenance,39,5000,pending
239344,Stokes LLC,Cedric Moss,NDF,Software,27,10000,presented
307599,"Kassulke, Ondricka and Metz",Wendy Yule,US,Maintenance,40,7000,won
688981,Keeling LLC,Wendy Yule,NDF,CPU,35,100000,won
729833,Koepp Ltd,Wendy Yule,NDF,CPU,48,65000,declined
729833,Koepp Ltd,Wendy Yule,US,Monitor,25,5000,presented
,,,US,,35,,
,,,NDF,,24,,
,,,NDF,,26,,
,,,US,,29,,
,,,US,,60,,
,,,US,,42,,
,,,NDF,,40,,
,,,NDF,,54,,
,,,NDF,,40,,
,,,US,,22,,
,,,other,,25,,
,,,NDF,,29,,
,,,NDF,,41,,
,,,NDF,,22,,
,,,NDF,,25,,
,,,NDF,,57,,
,,,NDF,,47,,
,,,NDF,,46,,
,,,NDF,,29,,
,,,NDF,,26,,
,,,NDF,,24,,
,,,other,,34,,
,,,NDF,,24,,
,,,NDF,,25,,
,,,other,,35,,
,,,GB,,47,,
,,,NDF,,68,,
,,,NDF,,73,,
,,,US,,38,,
,,,US,,54,,
,,,US,,24,,
,,,NDF,,47,,
,,,other,,29,,
,,,US,,37,,
,,,NDF,,41,,
,,,NDF,,43,,
,,,IT,,45,,
,,,NDF,,27,,
,,,NDF,,46,,
,,,NDF,,25,,
,,,IT,,34,,
,,,US,,40,,
,,,US,,31,,
,,,NDF,,54,,
,,,NDF,,41,,
,,,NDF,,62,,
,,,NDF,,51,,
,,,NDF,,35,,
,,,NDF,,21,,
,,,NDF,,56,,
,,,US,,27,,
,,,US,,42,,
,,,NDF,,27,,
,,,NDF,,31,,
,,,US,,36,,
,,,NDF,,36,,
,,,other,,39,,
,,,NDF,,32,,
,,,US,,36,,
,,,US,,36,,
,,,NDF,,45,,
,,,US,,24,,
,,,US,,26,,
,,,NDF,,18,,
,,,other,,50,,
,,,AU,,27,,
,,,GB,,22,,
,,,other,,29,,
,,,US,,54,,
,,,NDF,,41,,
,,,AU,,29,,
,,,US,,33,,
,,,US,,61,,
,,,NDF,,24,,
,,,US,,33,,
,,,NDF,,84,,
,,,US,,37,,
,,,CA,,29,,
,,,US,,59,,
,,,US,,39,,
,,,US,,25,,
,,,IT,,24,,
,,,US,,45,,
,,,NDF,,37,,
,,,NDF,,55,,
,,,NDF,,23,,
,,,other,,31,,
,,,NDF,,56,,
,,,NDF,,31,,
,,,US,,33,,
,,,NDF,,34,,
,,,NDF,,28,,
,,,US,,28,,
,,,US,,26,,
,,,IT,,62,,
,,,NDF,,42,,
,,,US,,38,,
,,,NDF,,36,,
,,,FR,,31,,
,,,FR,,67,,
,,,NDF,,25,,
,,,NDF,,30,,
,,,NDF,,26,,
,,,US,,42,,
,,,other,,58,,
,,,US,,47,,
,,,US,,38,,
,,,US,,57,,
,,,other,,39,,
,,,NDF,,29,,
,,,US,,30,,
,,,NDF,,31,,
,,,NDF,,25,,
,,,NDF,,65,,
,,,NDF,,34,,
,,,NDF,,30,,
,,,US,,21,,
,,,US,,29,,
,,,US,,32,,
,,,NDF,,36,,
,,,US,,37,,
,,,NDF,,22,,
,,,NDF,,26,,
,,,NDF,,26,,
,,,US,,31,,
,,,NDF,,50,,
,,,NDF,,39,,
,,,NDF,,25,,
,,,NDF,,19,,
,,,other,,32,,
,,,NDF,,37,,
,,,NDF,,51,,
,,,US,,68,,
,,,FR,,28,,
,,,US,,24,,
,,,NDF,,27,,
,,,NDF,,24,,
,,,NDF,,24,,
,,,US,,28,,
,,,US,,29,,
,,,NDF,,47,,
,,,NDF,,22,,
,,,NDF,,53,,
,,,NDF,,27,,
,,,NDF,,32,,
,,,other,,33,,
,,,US,,67,,
,,,NDF,,57,,
,,,US,,38,,
,,,NDF,,31,,
,,,US,,27,,
,,,other,,73,,
,,,NDF,,47,,
,,,US,,57,,
,,,US,,41,,
,,,FR,,66,,
,,,US,,22,,
,,,US,,26,,
,,,US,,29,,
,,,US,,40,,
,,,CA,,31,,
,,,NDF,,89,,
,,,US,,34,,
,,,FR,,42,,
,,,NDF,,39,,
,,,NDF,,43,,
,,,US,,46,,
,,,US,,30,,
,,,NDF,,38,,
,,,US,,25,,
,,,US,,30,,
,,,NDF,,27,,
,,,FR,,39,,
,,,NDF,,29,,
,,,US,,30,,
,,,other,,41,,
,,,US,,33,,
,,,US,,29,,
,,,ES,,30,,
,,,US,,28,,
,,,US,,45,,
,,,NDF,,41,,
,,,FR,,41,,
,,,NDF,,34,,
,,,other,,35,,
,,,US,,59,,
,,,US,,31,,
,,,NDF,,33,,
,,,NDF,,28,,
,,,NDF,,39,,
,,,NDF,,39,,
,,,US,,41,,
,,,US,,25,,
,,,other,,26,,
,,,US,,39,,
,,,US,,27,,
,,,other,,63,,
,,,NDF,,36,,
,,,NDF,,61,,
,,,US,,51,,
,,,other,,41,,
,,,US,,50,,
,,,US,,28,,
,,,NDF,,32,,
,,,GB,,85,,
,,,US,,24,,
,,,NDF,,23,,
,,,US,,30,,
,,,FR,,41,,
,,,US,,34,,
,,,US,,28,,
,,,US,,39,,
,,,NDF,,22,,
,,,NDF,,29,,
,,,US,,71,,
,,,NDF,,41,,
,,,US,,26,,
,,,NDF,,31,,
,,,NDF,,46,,
,,,NDF,,25,,
,,,NDF,,23,,
,,,US,,28,,
,,,US,,40,,
,,,US,,26,,
,,,US,,31,,
,,,US,,40,,
,,,NDF,,21,,
,,,NDF,,28,,
,,,NDF,,63,,
,,,NDF,,44,,
,,,NDF,,57,,
,,,NDF,,43,,
,,,US,,26,,
,,,US,,23,,
,,,NDF,,47,,
,,,CA,,41,,
,,,NDF,,37,,
,,,NDF,,33,,
,,,NDF,,52,,
,,,US,,31,,
,,,NDF,,34,,
,,,NDF,,29,,
,,,NDF,,42,,
,,,NDF,,49,,
,,,NDF,,30,,
,,,NDF,,43,,
,,,NDF,,39,,
,,,US,,38,,
,,,NDF,,21,,
,,,NDF,,28,,
,,,IT,,33,,
,,,NDF,,55,,
,,,other,,36,,
,,,US,,54,,
,,,US,,37,,
,,,US,,24,,
,,,NDF,,39,,
,,,NDF,,59,,
,,,NDF,,27,,
,,,NDF,,40,,
,,,other,,28,,
,,,US,,24,,
,,,US,,32,,
,,,US,,36,,
,,,ES,,38,,
,,,US,,27,,
,,,US,,35,,
,,,US,,26,,
,,,US,,33,,
,,,US,,32,,
,,,US,,36,,
,,,ES,,37,,
,,,GB,,36,,
,,,US,,28,,
,,,US,,21,,
,,,NDF,,32,,
,,,US,,24,,
,,,US,,48,,
,,,other,,61,,
,,,US,,21,,
,,,NDF,,25,,
,,,US,,25,,
,,,NDF,,26,,
,,,NDF,,64,,
,,,NDF,,26,,
,,,US,,24,,
,,,other,,27,,
,,,NDF,,32,,
,,,US,,27,,
,,,NDF,,31,,
,,,US,,49,,
,,,US,,32,,
,,,NDF,,26,,
,,,NDF,,67,,
,,,US,,41,,
,,,NDF,,24,,
,,,US,,62,,
,,,NDF,,42,,
,,,GB,,31,,
,,,US,,48,,
,,,NDF,,39,,
,,,NDF,,39,,
,,,NDF,,35,,
,,,NDF,,35,,
,,,other,,43,,
,,,DE,,23,,
,,,US,,44,,
,,,NDF,,35,,
,,,NDF,,49,,
,,,US,,36,,
,,,NDF,,26,,
,,,NDF,,24,,
,,,NDF,,37,,
,,,AU,,23,,
,,,US,,36,,
,,,NDF,,40,,
,,,NDF,,42,,
,,,US,,32,,
,,,other,,31,,
,,,NDF,,33,,
,,,NDF,,29,,
,,,US,,33,,
,,,US,,25,,
,,,NDF,,29,,
,,,US,,32,,
,,,NDF,,25,,
,,,US,,32,,
,,,NDF,,20,,
,,,other,,28,,
,,,ES,,19,,
,,,other,,24,,
,,,NDF,,25,,
,,,other,,30,,
,,,US,,32,,
,,,other,,19,,
,,,NDF,,45,,
,,,US,,32,,
,,,NDF,,45,,
,,,US,,30,,
,,,US,,26,,
,,,US,,35,,
,,,NDF,,36,,
,,,US,,31,,
,,,US,,37,,
,,,NDF,,30,,
,,,FR,,42,,
,,,NDF,,23,,
,,,US,,26,,
,,,US,,37,,
,,,US,,30,,
,,,NDF,,45,,
,,,US,,23,,
,,,US,,31,,
,,,US,,35,,
,,,NDF,,25,,
,,,NDF,,62,,
,,,US,,28,,
,,,US,,27,,
,,,US,,37,,
,,,NDF,,32,,
,,,US,,32,,
,,,NDF,,43,,
,,,US,,36,,
,,,US,,38,,
,,,US,,93,,
,,,NDF,,22,,
,,,US,,26,,
,,,US,,24,,
,,,NDF,,27,,
,,,US,,26,,
,,,NDF,,33,,
,,,US,,34,,
,,,NDF,,30,,
,,,NDF,,37,,
,,,NDF,,24,,
,,,NDF,,22,,
,,,NDF,,34,,
,,,NDF,,29,,
,,,US,,33,,
,,,other,,27,,
,,,US,,33,,
,,,US,,34,,
,,,NDF,,29,,
,,,NDF,,27,,
,,,other,,34,,
,,,US,,41,,
,,,US,,55,,
,,,NDF,,42,,
,,,US,,30,,
,,,NDF,,30,,
,,,NDF,,29,,
,,,US,,63,,
,,,ES,,29,,
,,,US,,27,,
,,,other,,26,,
,,,US,,47,,
,,,US,,27,,
,,,NDF,,36,,
,,,US,,30,,
,,,NDF,,25,,
,,,NDF,,39,,
,,,US,,34,,
,,,US,,24,,
,,,US,,25,,
,,,NDF,,50,,
,,,US,,39,,
,,,US,,29,,
,,,other,,30,,
,,,NDF,,30,,
,,,US,,34,,
,,,US,,52,,
,,,US,,53,,
,,,US,,32,,
,,,US,,38,,
,,,NDF,,55,,
,,,US,,50,,
,,,NDF,,39,,
,,,NDF,,46,,
,,,NDF,,39,,
,,,NDF,,26,,
,,,US,,25,,
